nom,dates,lieu
SUN & THUNDER FESTIVAL 2025,"July 17- 19, 2025","Fuengirola, Spain"
SUPER BOCK SUPER ROCK 2025,Cancelled,"Lisbon, Portugal"
TALL PINES MUSIC FESTIVAL 2025,"July 18- 19, 2025","Gravenhurst, ON"
TSUNAMI FESTIVAL 2025,"July 18- 19, 2025","Gijón, Spain"
UPHEAVAL FESTIVAL 2025,"July 18- 19, 2025","Grand Rapids, MI"
VERMONT BREWERS FESTIVAL 2025,"July 18- 19, 2025","Burlington, VT"
AMPHI FESTIVAL 2025,"July 19- 20, 2025","Cologne, Germany"
ATLAS WEEKEND 2025,"July 18- 20, 2025","Kyiv, Ukraine"
BIG LOVE FESTIVAL 2025,"July 17- 20, 2025","Monmouthsire, Wales"
CAPITOL HILL BLOCK PARTY 2025,"July 18- 20, 2025","Seattle, WA"
COUNTRY THUNDER WISCONSIN 2025,"July 17- 20, 2025","Twin Lakes, WI"
DEICHBRAND FESTIVAL 2025,"July 17- 20, 2025","Wurster Nordseeküste, Germany"
DOUR FESTIVAL 2025,"July 16- 20, 2025","Dour, Belgium"
ELECTRIC CASTLE FESTIVAL 2025,"July 16- 20, 2025","Bontida, Romania"
FOLK BY THE OAK 2025,"July 20,  2025","Hertfordshire, UK"
GRASSROOTS FINGER LAKES FESTIVAL 2025,"July 17- 20, 2025","Trumansburg, NY"
GREAT JONES COUNTY FAIR 2025,"July 16- 20, 2025","Monticello, IA"
GREY FOX BLUEGRASS FESTIVAL 2025,"July 16- 20, 2025","Oak Hill, NY"
HILLSIDE FESTIVAL 2025,"July 18- 20, 2025","Guelph, ON"
ILOSAARIROCK FESTIVAL 2025,"July 18- 20, 2025","Joensuu, Finland"
INKCARCERATION FESTIVAL 2025,"July 18- 20, 2025","Mansfield, OH"
LES VIEILLES CHARRUES 2025,"July 17- 20, 2025","Carhaix, France"
LOLLAPALOOZA PARIS 2025,"July 18- 20, 2025","Paris, France"
MARES VIVAS 2025,"July 18- 20, 2025","Praia do Cabedelo, Portugal"
MICHE FEST 2025,Cancelled,"Chicago, IL"
MINNESOTA YACHT CLUB FESTIVAL 2025,"July 18- 20, 2025","Saint Paul, MN"
NORTHERN NIGHTS 2025,"July 18- 20, 2025","Piercy, CA"
NOZSTOCK THE HIDDEN VALLEY 2025,Cancelled,"Herefordshire, UK"
OK FEST 2025,"July 18- 20, 2025","Tjentiste, Bosnia &amp; Herzegovina"
PAROOKAVILLE 2025,"July 18- 20, 2025","Weeze, Germany"
