nom,dates,lieu,start_date,end_date
SUN & THUNDER FESTIVAL 2025,"July 17- 19, 2025","Fuengirola, Spain",2025-07-17,2025-07-19
SUPER BOCK SUPER ROCK 2025,Cancelled,"Lisbon, Portugal",Cancelled,Cancelled
TALL PINES MUSIC FESTIVAL 2025,"July 18- 19, 2025","Gravenhurst, ON",2025-07-18,2025-07-19
TSUNAMI FESTIVAL 2025,"July 18- 19, 2025","Gijón, Spain",2025-07-18,2025-07-19
UPHEAVAL FESTIVAL 2025,"July 18- 19, 2025","Grand Rapids, MI",2025-07-18,2025-07-19
VERMONT BREWERS FESTIVAL 2025,"July 18- 19, 2025","Burlington, VT",2025-07-18,2025-07-19
AMPHI FESTIVAL 2025,"July 19- 20, 2025","Cologne, Germany",2025-07-19,2025-07-20
ATLAS WEEKEND 2025,"July 18- 20, 2025","Kyiv, Ukraine",2025-07-18,2025-07-20
BIG LOVE FESTIVAL 2025,"July 17- 20, 2025","Monmouthsire, Wales",2025-07-17,2025-07-20
CAPITOL HILL BLOCK PARTY 2025,"July 18- 20, 2025","Seattle, WA",2025-07-18,2025-07-20
COUNTRY THUNDER WISCONSIN 2025,"July 17- 20, 2025","Twin Lakes, WI",2025-07-17,2025-07-20
DEICHBRAND FESTIVAL 2025,"July 17- 20, 2025","Wurster Nordseeküste, Germany",2025-07-17,2025-07-20
DOUR FESTIVAL 2025,"July 16- 20, 2025","Dour, Belgium",2025-07-16,2025-07-20
ELECTRIC CASTLE FESTIVAL 2025,"July 16- 20, 2025","Bontida, Romania",2025-07-16,2025-07-20
FOLK BY THE OAK 2025,"July 20,  2025","Hertfordshire, UK",2025-07-20,2025-07-20
GRASSROOTS FINGER LAKES FESTIVAL 2025,"July 17- 20, 2025","Trumansburg, NY",2025-07-17,2025-07-20
GREAT JONES COUNTY FAIR 2025,"July 16- 20, 2025","Monticello, IA",2025-07-16,2025-07-20
GREY FOX BLUEGRASS FESTIVAL 2025,"July 16- 20, 2025","Oak Hill, NY",2025-07-16,2025-07-20
HILLSIDE FESTIVAL 2025,"July 18- 20, 2025","Guelph, ON",2025-07-18,2025-07-20
ILOSAARIROCK FESTIVAL 2025,"July 18- 20, 2025","Joensuu, Finland",2025-07-18,2025-07-20
INKCARCERATION FESTIVAL 2025,"July 18- 20, 2025","Mansfield, OH",2025-07-18,2025-07-20
LES VIEILLES CHARRUES 2025,"July 17- 20, 2025","Carhaix, France",2025-07-17,2025-07-20
LOLLAPALOOZA PARIS 2025,"July 18- 20, 2025","Paris, France",2025-07-18,2025-07-20
MARES VIVAS 2025,"July 18- 20, 2025","Praia do Cabedelo, Portugal",2025-07-18,2025-07-20
MICHE FEST 2025,Cancelled,"Chicago, IL",Cancelled,Cancelled
MINNESOTA YACHT CLUB FESTIVAL 2025,"July 18- 20, 2025","Saint Paul, MN",2025-07-18,2025-07-20
NORTHERN NIGHTS 2025,"July 18- 20, 2025","Piercy, CA",2025-07-18,2025-07-20
NOZSTOCK THE HIDDEN VALLEY 2025,Cancelled,"Herefordshire, UK",Cancelled,Cancelled
OK FEST 2025,"July 18- 20, 2025","Tjentiste, Bosnia &amp; Herzegovina",2025-07-18,2025-07-20
PAROOKAVILLE 2025,"July 18- 20, 2025","Weeze, Germany",2025-07-18,2025-07-20
PUNK IN THE PARK DENVER 2025,"July 18- 20, 2025","Denver, CO",2025-07-18,2025-07-20
ROCKLAND FEST 2025,"July 18- 20, 2025","Santo Domingo de la Calzada, Spain",2025-07-18,2025-07-20
SEA YOU FESTIVAL 2025,"July 18- 20, 2025","Freiburg, Germany",2025-07-18,2025-07-20
SPLENDOUR FESTIVAL 2025,"July 19- 20, 2025","Nottingham, UK",2025-07-19,2025-07-20
THE BEAT-HERDER FESTIVAL 2025,"July 17- 20, 2025","Ribble Valley, UK",2025-07-17,2025-07-20
