nom,dates,lieu,prix_min, prix_max
SUN & THUNDER FESTIVAL 2025,"July 17- 19, 2025","Fuengirola, Spain","180 EUR", "180 EUR"
SUPER BOCK SUPER ROCK 2025,Cancelled,"Lisbon, Portugal","N/A", "N/A"
TALL PINES MUSIC FESTIVAL 2025,"July 18- 19, 2025","Gravenhurst, ON","169 CAD", "349 CAD"
TSUNAMI FESTIVAL 2025,"July 18- 19, 2025","Gijón, Spain","40 EUR", "60 EUR"
UPHEAVAL FESTIVAL 2025,"July 18- 19, 2025","Grand Rapids, MI","79 USD", "199 USD"
VERMONT BREWERS FESTIVAL 2025,"July 18- 19, 2025","Burlington, VT","60 USD", "65 USD"
AMPHI FESTIVAL 2025,"July 19- 20, 2025","Cologne, Germany","99 EUR", "169 EUR"
ATLAS WEEKEND 2025,"July 18- 20, 2025","Kyiv, Ukraine","1 800 UAH", "3 500 UAH"
BIG LOVE FESTIVAL 2025,"July 17- 20, 2025","Monmouthsire, Wales","1 800 RUB", "14 000 RUB"
CAPITOL HILL BLOCK PARTY 2025,"July 18- 20, 2025","Seattle, WA","70 USD", "200 USD"
COUNTRY THUNDER WISCONSIN 2025,"July 17- 20, 2025","Twin Lakes, WI","199 USD", "700 USD"
DEICHBRAND FESTIVAL 2025,"July 17- 20, 2025","Wurster Nordseeküste, Germany","199 EUR", "249 EUR"
DOUR FESTIVAL 2025,"July 16- 20, 2025","Dour, Belgium","95 EUR", "210 EUR"
ELECTRIC CASTLE FESTIVAL 2025,"July 16- 20, 2025","Bontida, Romania","149 EUR", "499 EUR"
FOLK BY THE OAK 2025,"July 20,  2025","Hertfordshire, UK","52 GBP", "176 GBP"
GRASSROOTS FINGER LAKES FESTIVAL 2025,"July 17- 20, 2025","Trumansburg, NY","164 USD", "225 USD"
GREAT JONES COUNTY FAIR 2025,"July 16- 20, 2025","Monticello, IA","15 USD", "60 USD"
GREY FOX BLUEGRASS FESTIVAL 2025,"July 16- 20, 2025","Oak Hill, NY","225 USD, 275 USD"
HILLSIDE FESTIVAL 2025,"July 18- 20, 2025","Guelph, ON","85 CAD, 200 CAD"
ILOSAARIROCK FESTIVAL 2025,"July 18- 20, 2025","Joensuu, Finland","99 EUR, 179 EUR"
INKCARCERATION FESTIVAL 2025,"July 18- 20, 2025","Mansfield, OH","220 USD, 350 USD"
LES VIEILLES CHARRUES 2025,"July 17- 20, 2025","Carhaix, France","49 EUR, 179 EUR"
LOLLAPALOOZA PARIS 2025,"July 18- 20, 2025","Paris, France","99 EUR, 399 EUR"
MARES VIVAS 2025,"July 18- 20, 2025","Praia do Cabedelo, Portugal","32 EUR, 95 EUR"
MICHE FEST 2025,Cancelled,"Chicago, IL","N/A, N/A"
MINNESOTA YACHT CLUB FESTIVAL 2025,"July 18- 20, 2025","Saint Paul, MN","N/A, N/A"
NORTHERN NIGHTS 2025,"July 18- 20, 2025","Piercy, CA","199 USD, 399 USD"
NOZSTOCK THE HIDDEN VALLEY 2025,Cancelled,"Herefordshire, UK","145 GBP, 195 GBP"
OK FEST 2025,"July 18- 20, 2025","Tjentiste, Bosnia &amp; Herzegovina","N/A, N/A"
PAROOKAVILLE 2025,"July 18- 20, 2025","Weeze, Germany","129 EUR, 329 EUR"
PUNK IN THE PARK DENVER 2025,"July 18- 20, 2025","Denver, CO","65 USD, 175 USD"
ROCKLAND FEST 2025,"July 18- 20, 2025","Santo Domingo de la Calzada, Spain","89 CHF, 139 CHF"
SEA YOU FESTIVAL 2025,"July 18- 20, 2025","Freiburg, Germany","179 EUR, 339 EUR"
SPLENDOUR FESTIVAL 2025,"July 19- 20, 2025","Nottingham, UK","149 SGD, 399 SGD"
THE BEAT-HERDER FESTIVAL 2025,"July 17- 20, 2025","Ribble Valley, UK","167 GBP, 225 GBP"
TIMESCAPE FESTIVAL 2025,"July 18- 20, 2025","Cambridgeshire, UK","80 CHF, 120 CHF"
UNDER THE BIG SKY FEST 2025,"July 18- 20, 2025","Whitefish, MT","199 USD, 799 USD"
